model,roc_auc,pr_auc,brier_score,log_loss,accuracy_at_threshold,precision_at_threshold,recall_at_threshold,f1_at_threshold,threshold,n_test_rows
Logistic Regression,0.49783304961358776,0.5056824252520618,0.25013634352503633,0.693419412032247,0.5052951608816822,0.5052951608816822,1.0,0.6713569192446225,0.01,19735
XGBoost,0.4954565089944151,0.5007641571505685,0.24998389885959485,0.6931149800779415,0.5052951608816822,0.5052951608816822,1.0,0.6713569192446225,0.01,19735
Cox PH,0.5042829643374285,0.5102415468234344,0.4238501976535259,2.6283300427263576,0.5052951608816822,0.5053449951409135,0.9907741676694746,0.6693086745926905,0.01,19735
