threshold,true_positive,false_positive,false_negative,true_negative,customers_targeted,total_profit,profit_per_customer,precision,target_rate,estimated_coupon_budget,meets_max_target_rate,meets_minimum_precision,meets_budget_cap,constraints_satisfied,constraint_violation_score
0.01,9972,9763,0,0,19735,701175.0,35.52951608816823,0.5052951608816822,1.0,296025.0,False,True,False,False,29.4025
0.02,9972,9763,0,0,19735,701175.0,35.52951608816823,0.5052951608816822,1.0,296025.0,False,True,False,False,29.4025
0.03,9972,9763,0,0,19735,701175.0,35.52951608816823,0.5052951608816822,1.0,296025.0,False,True,False,False,29.4025
0.04,9972,9763,0,0,19735,701175.0,35.52951608816823,0.5052951608816822,1.0,296025.0,False,True,False,False,29.4025
0.05,9972,9763,0,0,19735,701175.0,35.52951608816823,0.5052951608816822,1.0,296025.0,False,True,False,False,29.4025
0.06,9972,9763,0,0,19735,701175.0,35.52951608816823,0.5052951608816822,1.0,296025.0,False,True,False,False,29.4025
0.07,9972,9763,0,0,19735,701175.0,35.52951608816823,0.5052951608816822,1.0,296025.0,False,True,False,False,29.4025
0.08,9972,9763,0,0,19735,701175.0,35.52951608816823,0.5052951608816822,1.0,296025.0,False,True,False,False,29.4025
0.09,9972,9763,0,0,19735,701175.0,35.52951608816823,0.5052951608816822,1.0,296025.0,False,True,False,False,29.4025
0.1,9972,9763,0,0,19735,701175.0,35.52951608816823,0.5052951608816822,1.0,296025.0,False,True,False,False,29.4025
0.11,9972,9763,0,0,19735,701175.0,35.52951608816823,0.5052951608816822,1.0,296025.0,False,True,False,False,29.4025
0.12,9972,9763,0,0,19735,701175.0,35.52951608816823,0.5052951608816822,1.0,296025.0,False,True,False,False,29.4025
0.13,9972,9763,0,0,19735,701175.0,35.52951608816823,0.5052951608816822,1.0,296025.0,False,True,False,False,29.4025
0.14,9972,9763,0,0,19735,701175.0,35.52951608816823,0.5052951608816822,1.0,296025.0,False,True,False,False,29.4025
0.15,9972,9763,0,0,19735,701175.0,35.52951608816823,0.5052951608816822,1.0,296025.0,False,True,False,False,29.4025
0.16,9972,9763,0,0,19735,701175.0,35.52951608816823,0.5052951608816822,1.0,296025.0,False,True,False,False,29.4025
0.17,9972,9763,0,0,19735,701175.0,35.52951608816823,0.5052951608816822,1.0,296025.0,False,True,False,False,29.4025
0.18,9972,9763,0,0,19735,701175.0,35.52951608816823,0.5052951608816822,1.0,296025.0,False,True,False,False,29.4025
0.19,9972,9763,0,0,19735,701175.0,35.52951608816823,0.5052951608816822,1.0,296025.0,False,True,False,False,29.4025
0.2,9972,9763,0,0,19735,701175.0,35.52951608816823,0.5052951608816822,1.0,296025.0,False,True,False,False,29.4025
0.21,9972,9763,0,0,19735,701175.0,35.52951608816823,0.5052951608816822,1.0,296025.0,False,True,False,False,29.4025
0.22,9972,9763,0,0,19735,701175.0,35.52951608816823,0.5052951608816822,1.0,296025.0,False,True,False,False,29.4025
0.23,9972,9763,0,0,19735,701175.0,35.52951608816823,0.5052951608816822,1.0,296025.0,False,True,False,False,29.4025
0.24,9972,9763,0,0,19735,701175.0,35.52951608816823,0.5052951608816822,1.0,296025.0,False,True,False,False,29.4025
0.25,9972,9763,0,0,19735,701175.0,35.52951608816823,0.5052951608816822,1.0,296025.0,False,True,False,False,29.4025
0.26,9972,9763,0,0,19735,701175.0,35.52951608816823,0.5052951608816822,1.0,296025.0,False,True,False,False,29.4025
0.27,9972,9763,0,0,19735,701175.0,35.52951608816823,0.5052951608816822,1.0,296025.0,False,True,False,False,29.4025
